Test Type,Transaction ID,Patient ID,Operation,Start Time,End Time,Duration (seconds),Status
FULL_CYCLE,21,CLOUD_FC_20260219_183630_P000021,CREATE,1771526195.114481340,1771526195.115892290,.134491812,SUCCESS
FULL_CYCLE,21,CLOUD_FC_20260219_183630_P000021,CONSENT,1771526195.230502705,1771526195.231961056,.106856344,SUCCESS
FULL_CYCLE,22,CLOUD_FC_20260219_183630_P000022,CREATE,1771526195.348870852,1771526195.350410406,.108558604,SUCCESS
FULL_CYCLE,22,CLOUD_FC_20260219_183630_P000022,CONSENT,1771526195.467238299,1771526195.468733951,.109388432,SUCCESS
FULL_CYCLE,23,CLOUD_FC_20260219_183630_P000023,CREATE,1771526195.585727550,1771526195.587278204,.109143223,SUCCESS
FULL_CYCLE,23,CLOUD_FC_20260219_183630_P000023,CONSENT,1771526195.701237096,1771526195.702572843,.106613535,SUCCESS
FULL_CYCLE,24,CLOUD_FC_20260219_183630_P000024,CREATE,1771526195.824358110,1771526195.825559252,.113712084,SUCCESS
FULL_CYCLE,24,CLOUD_FC_20260219_183630_P000024,CONSENT,1771526195.939187833,1771526195.940699686,.106662736,SUCCESS
FULL_CYCLE,25,CLOUD_FC_20260219_183630_P000025,CREATE,1771526196.062096339,1771526196.063562190,.112921656,SUCCESS
FULL_CYCLE,25,CLOUD_FC_20260219_183630_P000025,CONSENT,1771526196.180937802,1771526196.182416454,.109921451,SUCCESS
FULL_CYCLE,26,CLOUD_FC_20260219_183630_P000026,CREATE,1771526196.321357221,1771526196.322943277,.130638677,SUCCESS
FULL_CYCLE,26,CLOUD_FC_20260219_183630_P000026,CONSENT,1771526196.441151918,1771526196.442633670,.110400368,SUCCESS
FULL_CYCLE,27,CLOUD_FC_20260219_183630_P000027,CREATE,1771526196.561666540,1771526196.563090990,.110787481,SUCCESS
FULL_CYCLE,27,CLOUD_FC_20260219_183630_P000027,CONSENT,1771526196.681979255,1771526196.683314102,.111416003,SUCCESS
FULL_CYCLE,28,CLOUD_FC_20260219_183630_P000028,CREATE,1771526196.803751921,1771526196.805164071,.111906721,SUCCESS
FULL_CYCLE,28,CLOUD_FC_20260219_183630_P000028,CONSENT,1771526196.917851619,1771526196.919273168,.105221186,SUCCESS
FULL_CYCLE,29,CLOUD_FC_20260219_183630_P000029,CREATE,1771526197.037605814,1771526197.039033464,.109859849,SUCCESS
FULL_CYCLE,29,CLOUD_FC_20260219_183630_P000029,CONSENT,1771526197.156018262,1771526197.157496314,.109508036,SUCCESS
FULL_CYCLE,30,CLOUD_FC_20260219_183630_P000030,CREATE,1771526197.277817129,1771526197.279217478,.111796917,SUCCESS
FULL_CYCLE,30,CLOUD_FC_20260219_183630_P000030,CONSENT,1771526197.396180976,1771526197.397596626,.109706243,SUCCESS
FULL_CYCLE,31,CLOUD_FC_20260219_183630_P000031,CREATE,1771526197.534674828,1771526197.536123979,.128778011,SUCCESS
FULL_CYCLE,31,CLOUD_FC_20260219_183630_P000031,CONSENT,1771526197.653323185,1771526197.654828037,.109408533,SUCCESS
FULL_CYCLE,32,CLOUD_FC_20260219_183630_P000032,CREATE,1771526197.775708872,1771526197.777128922,.112199931,SUCCESS
FULL_CYCLE,32,CLOUD_FC_20260219_183630_P000032,CONSENT,1771526197.898724682,1771526197.900185833,.114118398,SUCCESS
FULL_CYCLE,33,CLOUD_FC_20260219_183630_P000033,CREATE,1771526198.018271770,1771526198.019843425,.110031755,SUCCESS
FULL_CYCLE,33,CLOUD_FC_20260219_183630_P000033,CONSENT,1771526198.132503072,1771526198.133955723,.104844473,SUCCESS
FULL_CYCLE,34,CLOUD_FC_20260219_183630_P000034,CREATE,1771526198.253064195,1771526198.254478945,.111243397,SUCCESS
FULL_CYCLE,34,CLOUD_FC_20260219_183630_P000034,CONSENT,1771526198.370092995,1771526198.371706252,.108128988,SUCCESS
FULL_CYCLE,35,CLOUD_FC_20260219_183630_P000035,CREATE,1771526198.492102070,1771526198.493538420,.111985524,SUCCESS
FULL_CYCLE,35,CLOUD_FC_20260219_183630_P000035,CONSENT,1771526198.608823459,1771526198.610352612,.107451964,SUCCESS
FULL_CYCLE,36,CLOUD_FC_20260219_183630_P000036,CREATE,1771526198.744341407,1771526198.745936062,.125897710,SUCCESS
FULL_CYCLE,36,CLOUD_FC_20260219_183630_P000036,CONSENT,1771526198.858849118,1771526198.860266968,.105368991,SUCCESS
FULL_CYCLE,37,CLOUD_FC_20260219_183630_P000037,CREATE,1771526198.982394746,1771526198.984011303,.113675983,SUCCESS
FULL_CYCLE,37,CLOUD_FC_20260219_183630_P000037,CONSENT,1771526199.097598182,1771526199.098970230,.105921911,SUCCESS
FULL_CYCLE,38,CLOUD_FC_20260219_183630_P000038,CREATE,1771526199.218135605,1771526199.219603557,.111313099,SUCCESS
FULL_CYCLE,38,CLOUD_FC_20260219_183630_P000038,CONSENT,1771526199.332686818,1771526199.334122869,.105623500,SUCCESS
FULL_CYCLE,39,CLOUD_FC_20260219_183630_P000039,CREATE,1771526199.449007993,1771526199.450320439,.107394162,SUCCESS
FULL_CYCLE,39,CLOUD_FC_20260219_183630_P000039,CONSENT,1771526199.562212859,1771526199.563694911,.104603565,SUCCESS
FULL_CYCLE,40,CLOUD_FC_20260219_183630_P000040,CREATE,1771526199.682216063,1771526199.683645814,.110188260,SUCCESS
FULL_CYCLE,40,CLOUD_FC_20260219_183630_P000040,CONSENT,1771526199.797636607,1771526199.799060157,.106614535,SUCCESS
FULL_CYCLE,41,CLOUD_FC_20260219_183630_P000041,CREATE,1771526199.931981814,1771526199.933392063,.124673468,SUCCESS
FULL_CYCLE,41,CLOUD_FC_20260219_183630_P000041,CONSENT,1771526200.049282323,1771526200.050742374,.108587104,SUCCESS
FULL_CYCLE,42,CLOUD_FC_20260219_183630_P000042,CREATE,1771526200.170031053,1771526200.171508705,.111056390,SUCCESS
FULL_CYCLE,42,CLOUD_FC_20260219_183630_P000042,CONSENT,1771526200.292026227,1771526200.293412876,.113001258,SUCCESS
FULL_CYCLE,43,CLOUD_FC_20260219_183630_P000043,CREATE,1771526200.415979070,1771526200.417325817,.114524312,SUCCESS
FULL_CYCLE,43,CLOUD_FC_20260219_183630_P000043,CONSENT,1771526200.532586755,1771526200.534015005,.107899880,SUCCESS
FULL_CYCLE,44,CLOUD_FC_20260219_183630_P000044,CREATE,1771526200.650600189,1771526200.651968537,.108095687,SUCCESS
FULL_CYCLE,44,CLOUD_FC_20260219_183630_P000044,CONSENT,1771526200.769240946,1771526200.770737998,.109947952,SUCCESS
FULL_CYCLE,45,CLOUD_FC_20260219_183630_P000045,CREATE,1771526200.889061243,1771526200.890491193,.110180860,SUCCESS
FULL_CYCLE,45,CLOUD_FC_20260219_183630_P000045,CONSENT,1771526201.005828834,1771526201.007266684,.107932881,SUCCESS
FULL_CYCLE,46,CLOUD_FC_20260219_183630_P000046,CREATE,1771526201.141349182,1771526201.142948238,.125829008,SUCCESS
FULL_CYCLE,46,CLOUD_FC_20260219_183630_P000046,CONSENT,1771526201.257609155,1771526201.259059906,.106978048,SUCCESS
FULL_CYCLE,47,CLOUD_FC_20260219_183630_P000047,CREATE,1771526201.377218745,1771526201.378656695,.109707543,SUCCESS
FULL_CYCLE,47,CLOUD_FC_20260219_183630_P000047,CONSENT,1771526201.490835825,1771526201.492296577,.104593865,SUCCESS
FULL_CYCLE,48,CLOUD_FC_20260219_183630_P000048,CREATE,1771526201.609435580,1771526201.610916332,.108419998,SUCCESS
FULL_CYCLE,48,CLOUD_FC_20260219_183630_P000048,CONSENT,1771526201.742600946,1771526201.744039096,.123824738,SUCCESS
FULL_CYCLE,49,CLOUD_FC_20260219_183630_P000049,CREATE,1771526201.865289944,1771526201.867003504,.112876254,SUCCESS
FULL_CYCLE,49,CLOUD_FC_20260219_183630_P000049,CONSENT,1771526201.984580423,1771526201.985923670,.110150459,SUCCESS
FULL_CYCLE,50,CLOUD_FC_20260219_183630_P000050,CREATE,1771526202.111382865,1771526202.113077125,.117202406,SUCCESS
FULL_CYCLE,50,CLOUD_FC_20260219_183630_P000050,CONSENT,1771526202.240200278,1771526202.241679630,.119332180,SUCCESS
FULL_CYCLE,51,CLOUD_FC_20260219_183630_P000051,CREATE,1771526202.378100909,1771526202.379714666,.128016385,SUCCESS
FULL_CYCLE,51,CLOUD_FC_20260219_183630_P000051,CONSENT,1771526202.497749601,1771526202.499533463,.110233962,SUCCESS
FULL_CYCLE,52,CLOUD_FC_20260219_183630_P000052,CREATE,1771526202.623512236,1771526202.625054988,.115498279,SUCCESS
FULL_CYCLE,52,CLOUD_FC_20260219_183630_P000052,CONSENT,1771526202.742643005,1771526202.744060554,.109950056,SUCCESS
FULL_CYCLE,53,CLOUD_FC_20260219_183630_P000053,CREATE,1771526202.864865481,1771526202.866205327,.112363938,SUCCESS
FULL_CYCLE,53,CLOUD_FC_20260219_183630_P000053,CONSENT,1771526202.984435165,1771526202.986001519,.110262067,SUCCESS
FULL_CYCLE,54,CLOUD_FC_20260219_183630_P000054,CREATE,1771526203.110432670,1771526203.111911020,.116115167,SUCCESS
FULL_CYCLE,54,CLOUD_FC_20260219_183630_P000054,CONSENT,1771526203.232330134,1771526203.233844086,.112371939,SUCCESS
FULL_CYCLE,55,CLOUD_FC_20260219_183630_P000055,CREATE,1771526203.355682148,1771526203.357126097,.113389473,SUCCESS
FULL_CYCLE,55,CLOUD_FC_20260219_183630_P000055,CONSENT,1771526203.474650612,1771526203.476086961,.109520742,SUCCESS
FULL_CYCLE,56,CLOUD_FC_20260219_183630_P000056,CREATE,1771526203.611182776,1771526203.612673127,.126972137,SUCCESS
FULL_CYCLE,56,CLOUD_FC_20260219_183630_P000056,CONSENT,1771526203.726037400,1771526203.727490049,.105901817,SUCCESS
FULL_CYCLE,57,CLOUD_FC_20260219_183630_P000057,CREATE,1771526203.845362476,1771526203.846844027,.109439739,SUCCESS
FULL_CYCLE,57,CLOUD_FC_20260219_183630_P000057,CONSENT,1771526203.959353370,1771526203.960901223,.105555506,SUCCESS
FULL_CYCLE,58,CLOUD_FC_20260219_183630_P000058,CREATE,1771526204.080704716,1771526204.082155565,.111672015,SUCCESS
FULL_CYCLE,58,CLOUD_FC_20260219_183630_P000058,CONSENT,1771526204.196838283,1771526204.198245731,.107254164,SUCCESS
FULL_CYCLE,59,CLOUD_FC_20260219_183630_P000059,CREATE,1771526204.333921966,1771526204.336944469,.122009968,SUCCESS
FULL_CYCLE,59,CLOUD_FC_20260219_183630_P000059,CONSENT,1771526204.458139710,1771526204.459797666,.111034693,SUCCESS
